_id,Name,Select,Star,Comment
658bae41349f415aebfa51d1,서연경민맘,선택 옵션 선택:●개념원리 RPM 중학수학 2-1,5,학원 교재로 구입했어요\n\n배송도 빠르고 좋아요
658bae41349f415aebfa51d2,kosa****,선택 옵션 선택:●개념원리 중학수학 2-1,5,학원교재로 샀어요 가볍게 쉬운문제집이네요
658bae41349f415aebfa51d3,날아줘로라,선택 옵션 선택:●개념원리 RPM 중학수학 2-1,5,갑자기 온라인서점들이 15천이상무료 배송을해서 ㅋ 카드할인까지받고 좋네요 문제가많아서 좋아요.
658bae41349f415aebfa51d4,choe***,선택 옵션 선택:●개념원리 중학수학 2-1,5,급하게 필요했는데 하루만에 배송 빨리 해주셔서 너무 감사드려요~~~
658bae41349f415aebfa51d5,duch*****,선택 옵션 학년선택:●개념원리 중학수학 1-1,5,개념정리에는 개념원리만한 책은 없는 것 같아요~
658bae41349f415aebfa51d6,joan******,선택 옵션 선택:●개념원리 중학수학 3-2,4,아이  미리 공부하려고 샀습니다. 인강도 있어 좋아요~~
658bae41349f415aebfa51d7,blue****,선택 옵션 선택:●개념원리 중학수학 3-2,5,사은품도 주고 카드할인도 되서 좋아요
658bae41349f415aebfa51d8,min2***,선택 옵션 선택:●개념원리 RPM 중학수학 3-1,5,학원 숙제로 쓴다해서 샀어요.배송빠릅니다.
658bae41349f415aebfa51d9,bing****,"선택 옵션 도서선택:개념원리 문제기본서 RPM 중 1-1,시리즈선택:●●22년1학기",5,개념 먼저풀고\n다시 이 책으로 유형 익히니 좋네요
658bae41349f415aebfa51da,잠이와,선택 옵션 ●●22년1학기,5,알피엠을 꾸준히 구매중인데 온라인 구매라 할인혜택도 있어 맘에 드네요.\n좋아요~
658bae41349f415aebfa51db,봉자부인,선택 옵션 선택:●개념원리 중학수학 1-1,5,방학동안 풀어보려고 샀는데 개념위주이니 \n열심히풀어서 개념좀 알길..
658bae42349f415aebfa51dc,blue****,선택 옵션 선택:●개념원리 중학수학 2-2,5,배송도 빠르고 카드할인되서 좋아요
