_id,책ID,책 이름,댓글 아이디,댓글 내용
658e832ec3baaf37b89b331c,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,zy*****,우연히 나혼자산다를 보는데 하석진배우님이 읽는걸 보고 구매했어요^^ 아직 첫장밖에 못봤지만 더집중해서 읽어볼려구요
658e832fc3baaf37b89b331d,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,79**************,깊이가 있는 책이라 좋아요
658e8332c3baaf37b89b331e,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,kw*****,마흔 많은 생각을 하며 탐독하고 있습니다.
658e8333c3baaf37b89b331f,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ar****,"인생은 의미가 없다. 그러므로 태어나지 않는 것이 최선이고, 태어났다면 최대한 빨리 죽는 것이 차선이다"
658e8334c3baaf37b89b3320,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,at****,유익한 내용이에요 추천합니다!!
658e8335c3baaf37b89b3321,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,my*******,재미있게 읽어집니다
658e8336c3baaf37b89b3322,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,js******,잘받았습니다 배송도 빠르고 좋아요 좋아요
658e8338c3baaf37b89b3323,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,na*****,"쇼펜하우어라고 하면 가장 먼저 떠오르는 단어가 무엇인가?\n많은 사람들이 ‘염세주의’, ‘비관주의'를 떠올릴 것이다.\n하지만 그를 그렇게 단적으로 표현하기에는 뭔가 빠트린 듯한 기분이 든다.\n그의 철학의 기조는 비관주의라고 할 수 있지만, 단지 비관에 그친 것이 아니라 그 속에서 희망과 행복을 찾으려고 했다."
658e8339c3baaf37b89b3324,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,na*****,"쇼펜하우어라고 하면 가장 먼저 떠오르는 단어가 무엇인가?\n많은 사람들이 ‘염세주의’, ‘비관주의'를 떠올릴 것이다.\n하지만 그를 그렇게 단적으로 표현하기에는 뭔가 빠트린 듯한 기분이 든다.\n그의 철학의 기조는 비관주의라고 할 수 있지만, 단지 비관에 그친 것이 아니라 그 속에서 희망과 행복을 찾으려고 했다."
658e833ac3baaf37b89b3325,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ky*****,심오한 책일줄 알았지만 한페이지마다 내용이 좋아요
